'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'18:00.000',-0.185,0.090
'18:00.003',-0.195,0.080
'18:00.006',-0.190,0.095
'18:00.008',-0.170,0.100
'18:00.011',-0.160,0.100
'18:00.014',-0.150,0.095
'18:00.017',-0.155,0.085
'18:00.019',-0.145,0.075
'18:00.022',-0.125,0.080
'18:00.025',-0.100,0.085
'18:00.028',-0.070,0.080
'18:00.031',-0.060,0.065
'18:00.033',-0.060,0.045
'18:00.036',-0.035,0.035
'18:00.039',-0.015,0.040
'18:00.042',0.005,0.050
'18:00.044',0.015,0.020
'18:00.047',0.025,0.010
'18:00.050',0.020,-0.010
'18:00.053',0.000,-0.015
'18:00.056',-0.005,-0.010
'18:00.058',0.020,-0.015
'18:00.061',0.040,-0.005
'18:00.064',0.030,0.000
'18:00.067',-0.020,-0.010
'18:00.069',-0.120,0.000
'18:00.072',-0.325,0.025
'18:00.075',-0.650,0.085
'18:00.078',-1.045,0.155
'18:00.081',-1.420,0.225
'18:00.083',-1.730,0.305
'18:00.086',-1.925,0.345
'18:00.089',-1.995,0.395
'18:00.092',-2.010,0.450
'18:00.094',-2.020,0.465
'18:00.097',-2.020,0.485
'18:00.100',-1.960,0.480
'18:00.103',-1.855,0.500
'18:00.106',-1.720,0.505
'18:00.108',-1.585,0.520
'18:00.111',-1.485,0.545
'18:00.114',-1.415,0.560
'18:00.117',-1.360,0.590
'18:00.119',-1.255,0.605
'18:00.122',-1.145,0.620
'18:00.125',-1.025,0.620
'18:00.128',-0.920,0.625
'18:00.131',-0.870,0.620
'18:00.133',-0.835,0.620
'18:00.136',-0.805,0.605
'18:00.139',-0.750,0.595
'18:00.142',-0.695,0.585
'18:00.144',-0.625,0.555
'18:00.147',-0.585,0.530
'18:00.150',-0.530,0.500
'18:00.153',-0.475,0.475
'18:00.156',-0.425,0.455
'18:00.158',-0.375,0.425
'18:00.161',-0.320,0.390
'18:00.164',-0.265,0.345
'18:00.167',-0.195,0.305
'18:00.169',-0.115,0.265
'18:00.172',-0.040,0.205
'18:00.175',0.040,0.155
'18:00.178',0.090,0.095
'18:00.181',0.135,0.040
'18:00.183',0.160,0.000
'18:00.186',0.165,-0.020
'18:00.189',0.190,-0.025
'18:00.192',0.210,-0.030
'18:00.194',0.240,-0.060
'18:00.197',0.270,-0.085
'18:00.200',0.280,-0.105
'18:00.203',0.280,-0.120
'18:00.206',0.285,-0.120
'18:00.208',0.305,-0.105
'18:00.211',0.315,-0.120
'18:00.214',0.355,-0.130
'18:00.217',0.360,-0.150
'18:00.219',0.360,-0.160
'18:00.222',0.390,-0.150
'18:00.225',0.405,-0.150
'18:00.228',0.430,-0.150
'18:00.231',0.455,-0.165
'18:00.233',0.455,-0.180
'18:00.236',0.465,-0.200
'18:00.239',0.490,-0.190
'18:00.242',0.505,-0.190
'18:00.244',0.540,-0.205
'18:00.247',0.565,-0.210
'18:00.250',0.590,-0.230
'18:00.253',0.590,-0.245
'18:00.256',0.610,-0.240
'18:00.258',0.630,-0.240
'18:00.261',0.655,-0.235
'18:00.264',0.670,-0.245
'18:00.267',0.670,-0.255
'18:00.269',0.670,-0.270
'18:00.272',0.685,-0.250
'18:00.275',0.700,-0.250
'18:00.278',0.725,-0.275
'18:00.281',0.735,-0.270
'18:00.283',0.745,-0.295
'18:00.286',0.750,-0.305
'18:00.289',0.755,-0.305
'18:00.292',0.760,-0.295
'18:00.294',0.780,-0.305
'18:00.297',0.780,-0.310
