'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'7:00.000',0.595,0.350
'7:00.003',0.595,0.355
'7:00.006',0.610,0.360
'7:00.008',0.635,0.370
'7:00.011',0.665,0.390
'7:00.014',0.710,0.385
'7:00.017',0.720,0.370
'7:00.019',0.735,0.360
'7:00.022',0.750,0.360
'7:00.025',0.775,0.380
'7:00.028',0.795,0.400
'7:00.031',0.830,0.395
'7:00.033',0.850,0.400
'7:00.036',0.855,0.410
'7:00.039',0.870,0.410
'7:00.042',0.870,0.430
'7:00.044',0.920,0.445
'7:00.047',0.935,0.445
'7:00.050',0.935,0.440
'7:00.053',0.940,0.445
'7:00.056',0.930,0.460
'7:00.058',0.935,0.465
'7:00.061',0.960,0.480
'7:00.064',0.975,0.490
'7:00.067',0.955,0.485
'7:00.069',0.930,0.500
'7:00.072',0.915,0.505
'7:00.075',0.920,0.515
'7:00.078',0.915,0.520
'7:00.081',0.920,0.545
'7:00.083',0.900,0.540
'7:00.086',0.850,0.535
'7:00.089',0.825,0.540
'7:00.092',0.800,0.545
'7:00.094',0.790,0.550
'7:00.097',0.740,0.545
'7:00.100',0.715,0.540
'7:00.103',0.650,0.530
'7:00.106',0.615,0.530
'7:00.108',0.575,0.545
'7:00.111',0.565,0.540
'7:00.114',0.530,0.530
'7:00.117',0.495,0.495
'7:00.119',0.440,0.480
'7:00.122',0.395,0.460
'7:00.125',0.355,0.460
'7:00.128',0.330,0.450
'7:00.131',0.300,0.435
'7:00.133',0.270,0.410
'7:00.136',0.230,0.395
'7:00.139',0.190,0.370
'7:00.142',0.170,0.365
'7:00.144',0.150,0.350
'7:00.147',0.120,0.330
'7:00.150',0.115,0.310
'7:00.153',0.080,0.295
'7:00.156',0.055,0.270
'7:00.158',0.040,0.275
'7:00.161',0.040,0.275
'7:00.164',0.030,0.250
'7:00.167',0.025,0.240
'7:00.169',-0.005,0.225
'7:00.172',-0.015,0.220
'7:00.175',-0.015,0.215
'7:00.178',-0.005,0.220
'7:00.181',-0.005,0.205
'7:00.183',-0.015,0.195
'7:00.186',-0.040,0.185
'7:00.189',-0.055,0.185
'7:00.192',-0.065,0.185
'7:00.194',-0.075,0.190
'7:00.197',-0.065,0.185
'7:00.200',-0.080,0.175
'7:00.203',-0.095,0.160
'7:00.206',-0.110,0.160
'7:00.208',-0.110,0.175
'7:00.211',-0.080,0.190
'7:00.214',-0.060,0.190
'7:00.217',-0.080,0.190
'7:00.219',-0.090,0.195
'7:00.222',-0.105,0.200
'7:00.225',-0.095,0.220
'7:00.228',-0.095,0.230
'7:00.231',-0.080,0.230
'7:00.233',-0.100,0.215
'7:00.236',-0.120,0.190
'7:00.239',-0.135,0.180
'7:00.242',-0.125,0.215
'7:00.244',-0.105,0.250
'7:00.247',-0.095,0.255
'7:00.250',-0.120,0.230
'7:00.253',-0.135,0.215
'7:00.256',-0.150,0.230
'7:00.258',-0.135,0.235
'7:00.261',-0.110,0.235
'7:00.264',-0.105,0.245
'7:00.267',-0.115,0.220
'7:00.269',-0.130,0.195
'7:00.272',-0.145,0.175
'7:00.275',-0.140,0.170
'7:00.278',-0.135,0.145
'7:00.281',-0.130,0.145
'7:00.283',-0.145,0.145
'7:00.286',-0.165,0.135
'7:00.289',-0.185,0.140
'7:00.292',-0.185,0.150
'7:00.294',-0.175,0.160
'7:00.297',-0.170,0.160
'7:00.300',-0.165,0.145
'7:00.303',-0.180,0.120
'7:00.306',-0.180,0.095
'7:00.308',-0.185,0.100
'7:00.311',-0.170,0.115
'7:00.314',-0.165,0.105
'7:00.317',-0.185,0.110
'7:00.319',-0.200,0.100
'7:00.322',-0.225,0.110
'7:00.325',-0.225,0.120
'7:00.328',-0.215,0.135
'7:00.331',-0.215,0.125
'7:00.333',-0.205,0.120
'7:00.336',-0.220,0.115
'7:00.339',-0.220,0.110
'7:00.342',-0.210,0.130
'7:00.344',-0.190,0.135
'7:00.347',-0.185,0.130
'7:00.350',-0.200,0.130
'7:00.353',-0.210,0.115
'7:00.356',-0.220,0.120
'7:00.358',-0.220,0.125
'7:00.361',-0.220,0.130
'7:00.364',-0.210,0.130
'7:00.367',-0.230,0.130
'7:00.369',-0.250,0.135
'7:00.372',-0.245,0.135
'7:00.375',-0.225,0.140
'7:00.378',-0.215,0.155
'7:00.381',-0.195,0.150
'7:00.383',-0.210,0.140
'7:00.386',-0.225,0.130
'7:00.389',-0.230,0.135
'7:00.392',-0.235,0.155
'7:00.394',-0.210,0.165
'7:00.397',-0.210,0.155
'7:00.400',-0.215,0.155
'7:00.403',-0.220,0.145
'7:00.406',-0.240,0.140
'7:00.408',-0.230,0.150
'7:00.411',-0.225,0.155
'7:00.414',-0.215,0.155
'7:00.417',-0.245,0.140
'7:00.419',-0.235,0.140
'7:00.422',-0.260,0.135
'7:00.425',-0.230,0.140
'7:00.428',-0.230,0.145
'7:00.431',-0.220,0.130
'7:00.433',-0.240,0.120
'7:00.436',-0.245,0.105
'7:00.439',-0.260,0.115
'7:00.442',-0.260,0.110
'7:00.444',-0.240,0.125
'7:00.447',-0.235,0.130
'7:00.450',-0.235,0.095
'7:00.453',-0.260,0.095
'7:00.456',-0.270,0.095
'7:00.458',-0.275,0.095
