'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'23:00.000',0.145,-0.190
'23:00.003',0.135,-0.185
'23:00.006',0.130,-0.175
'23:00.008',0.120,-0.180
'23:00.011',0.115,-0.155
'23:00.014',0.110,-0.145
'23:00.017',0.095,-0.110
'23:00.019',0.085,-0.100
'23:00.022',0.075,-0.075
'23:00.025',0.065,-0.070
'23:00.028',0.045,-0.090
'23:00.031',0.030,-0.085
'23:00.033',-0.005,-0.080
'23:00.036',-0.010,-0.075
'23:00.039',-0.010,-0.045
'23:00.042',-0.025,-0.015
'23:00.044',-0.030,0.005
'23:00.047',-0.035,0.010
'23:00.050',-0.040,0.005
'23:00.053',-0.055,0.020
'23:00.056',-0.065,0.005
'23:00.058',-0.080,0.015
'23:00.061',-0.105,0.025
'23:00.064',-0.125,0.035
'23:00.067',-0.125,0.025
'23:00.069',-0.130,0.040
'23:00.072',-0.135,0.030
'23:00.075',-0.145,0.030
'23:00.078',-0.140,0.040
'23:00.081',-0.145,0.045
'23:00.083',-0.155,0.045
'23:00.086',-0.160,0.035
'23:00.089',-0.150,0.045
'23:00.092',-0.160,0.035
'23:00.094',-0.165,0.025
'23:00.097',-0.185,0.025
'23:00.100',-0.175,0.035
'23:00.103',-0.180,0.055
'23:00.106',-0.175,0.060
'23:00.108',-0.180,0.055
'23:00.111',-0.175,0.065
'23:00.114',-0.170,0.075
'23:00.117',-0.170,0.050
'23:00.119',-0.170,0.050
'23:00.122',-0.170,0.035
'23:00.125',-0.175,0.030
'23:00.128',-0.190,0.020
'23:00.131',-0.195,0.030
'23:00.133',-0.215,0.030
'23:00.136',-0.225,0.035
'23:00.139',-0.220,0.045
'23:00.142',-0.225,0.045
'23:00.144',-0.235,0.060
'23:00.147',-0.225,0.040
'23:00.150',-0.215,0.040
'23:00.153',-0.210,0.030
'23:00.156',-0.215,0.025
'23:00.158',-0.215,0.025
'23:00.161',-0.225,0.020
'23:00.164',-0.235,0.005
'23:00.167',-0.230,-0.010
'23:00.169',-0.235,-0.015
'23:00.172',-0.215,-0.025
'23:00.175',-0.210,-0.030
'23:00.178',-0.200,-0.020
'23:00.181',-0.195,-0.045
'23:00.183',-0.190,-0.035
'23:00.186',-0.175,-0.035
'23:00.189',-0.185,-0.035
'23:00.192',-0.175,-0.040
'23:00.194',-0.170,-0.030
'23:00.197',-0.175,-0.010
'23:00.200',-0.165,0.000
'23:00.203',-0.155,0.015
'23:00.206',-0.140,0.010
'23:00.208',-0.150,0.015
'23:00.211',-0.135,0.020
'23:00.214',-0.140,0.020
'23:00.217',-0.155,0.020
'23:00.219',-0.160,0.020
'23:00.222',-0.160,0.010
'23:00.225',-0.170,0.005
'23:00.228',-0.185,-0.005
'23:00.231',-0.185,0.000
'23:00.233',-0.185,-0.005
'23:00.236',-0.185,0.005
'23:00.239',-0.180,0.005
'23:00.242',-0.175,0.000
'23:00.244',-0.175,0.005
'23:00.247',-0.175,0.010
'23:00.250',-0.190,0.010
'23:00.253',-0.190,0.005
'23:00.256',-0.180,0.000
'23:00.258',-0.190,0.000
'23:00.261',-0.170,-0.005
'23:00.264',-0.170,0.000
'23:00.267',-0.160,0.020
'23:00.269',-0.150,0.025
'23:00.272',-0.160,0.045
'23:00.275',-0.170,0.055
'23:00.278',-0.170,0.060
'23:00.281',-0.180,0.060
'23:00.283',-0.185,0.045
'23:00.286',-0.180,0.050
'23:00.289',-0.180,0.035
'23:00.292',-0.180,0.045
'23:00.294',-0.180,0.045
'23:00.297',-0.180,0.030
'23:00.300',-0.185,0.035
'23:00.303',-0.190,0.040
'23:00.306',-0.195,0.050
'23:00.308',-0.175,0.045
'23:00.311',-0.180,0.055
'23:00.314',-0.175,0.060
'23:00.317',-0.165,0.055
'23:00.319',-0.155,0.060
'23:00.322',-0.155,0.055
'23:00.325',-0.160,0.050
'23:00.328',-0.170,0.060
'23:00.331',-0.195,0.040
'23:00.333',-0.180,0.050
'23:00.336',-0.190,0.050
'23:00.339',-0.185,0.050
'23:00.342',-0.190,0.025
'23:00.344',-0.180,0.010
'23:00.347',-0.175,0.005
'23:00.350',-0.185,0.010
'23:00.353',-0.180,0.020
'23:00.356',-0.150,0.025
'23:00.358',-0.165,0.015
'23:00.361',-0.150,0.020
'23:00.364',-0.155,0.015
'23:00.367',-0.180,0.000
'23:00.369',-0.170,0.015
'23:00.372',-0.160,0.020
'23:00.375',-0.155,0.040
'23:00.378',-0.140,0.045
'23:00.381',-0.120,0.065
'23:00.383',-0.100,0.070
'23:00.386',-0.095,0.085
'23:00.389',-0.050,0.075
'23:00.392',0.000,0.055
'23:00.394',0.070,0.025
'23:00.397',0.170,-0.035
'23:00.400',0.285,-0.110
'23:00.403',0.405,-0.200
'23:00.406',0.525,-0.270
'23:00.408',0.600,-0.335
'23:00.411',0.605,-0.390
'23:00.414',0.510,-0.425
'23:00.417',0.320,-0.445
'23:00.419',0.060,-0.425
'23:00.422',-0.180,-0.355
'23:00.425',-0.370,-0.265
'23:00.428',-0.465,-0.135
'23:00.431',-0.500,-0.010
'23:00.433',-0.490,0.110
'23:00.436',-0.460,0.195
'23:00.439',-0.450,0.240
'23:00.442',-0.415,0.255
'23:00.444',-0.395,0.260
'23:00.447',-0.375,0.240
'23:00.450',-0.370,0.260
'23:00.453',-0.375,0.250
'23:00.456',-0.380,0.255
'23:00.458',-0.405,0.280
'23:00.461',-0.425,0.305
'23:00.464',-0.410,0.330
'23:00.467',-0.400,0.360
'23:00.469',-0.360,0.395
'23:00.472',-0.305,0.420
'23:00.475',-0.285,0.430
'23:00.478',-0.270,0.445
'23:00.481',-0.280,0.445
'23:00.483',-0.300,0.450
'23:00.486',-0.310,0.450
'23:00.489',-0.325,0.420
'23:00.492',-0.325,0.375
'23:00.494',-0.330,0.325
'23:00.497',-0.310,0.250
'23:00.500',-0.310,0.165
'23:00.503',-0.275,0.105
'23:00.506',-0.255,0.065
'23:00.508',-0.210,0.030
'23:00.511',-0.195,0.030
'23:00.514',-0.180,0.010
'23:00.517',-0.180,0.010
'23:00.519',-0.165,-0.005
'23:00.522',-0.180,-0.030
'23:00.525',-0.185,-0.050
'23:00.528',-0.195,-0.090
'23:00.531',-0.185,-0.090
'23:00.533',-0.190,-0.115
'23:00.536',-0.180,-0.105
'23:00.539',-0.190,-0.095
'23:00.542',-0.180,-0.080
'23:00.544',-0.180,-0.055
'23:00.547',-0.175,-0.065
'23:00.550',-0.175,-0.075
'23:00.553',-0.170,-0.080
'23:00.556',-0.180,-0.085
'23:00.558',-0.185,-0.080
'23:00.561',-0.195,-0.090
'23:00.564',-0.200,-0.085
'23:00.567',-0.190,-0.085
'23:00.569',-0.195,-0.095
'23:00.572',-0.185,-0.085
'23:00.575',-0.185,-0.065
'23:00.578',-0.170,-0.070
'23:00.581',-0.165,-0.055
'23:00.583',-0.160,-0.045
'23:00.586',-0.170,-0.055
'23:00.589',-0.170,-0.065
'23:00.592',-0.180,-0.075
'23:00.594',-0.175,-0.080
'23:00.597',-0.170,-0.105
'23:00.600',-0.175,-0.115
'23:00.603',-0.160,-0.130
'23:00.606',-0.160,-0.110
'23:00.608',-0.150,-0.110
'23:00.611',-0.145,-0.085
'23:00.614',-0.140,-0.080
'23:00.617',-0.145,-0.090
'23:00.619',-0.145,-0.095
'23:00.622',-0.145,-0.105
'23:00.625',-0.150,-0.105
'23:00.628',-0.150,-0.105
'23:00.631',-0.150,-0.110
'23:00.633',-0.155,-0.110
'23:00.636',-0.135,-0.100
'23:00.639',-0.130,-0.120
'23:00.642',-0.120,-0.120
'23:00.644',-0.120,-0.105
'23:00.647',-0.100,-0.115
'23:00.650',-0.085,-0.100
'23:00.653',-0.080,-0.120
'23:00.656',-0.075,-0.120
'23:00.658',-0.075,-0.130
'23:00.661',-0.070,-0.145
'23:00.664',-0.060,-0.170
'23:00.667',-0.050,-0.190
'23:00.669',-0.055,-0.210
'23:00.672',-0.050,-0.195
'23:00.675',-0.035,-0.190
'23:00.678',-0.030,-0.160
'23:00.681',0.000,-0.160
'23:00.683',0.005,-0.170
'23:00.686',0.015,-0.190
'23:00.689',0.015,-0.200
'23:00.692',0.030,-0.225
'23:00.694',0.030,-0.235
'23:00.697',0.030,-0.230
'23:00.700',0.040,-0.255
'23:00.703',0.045,-0.250
'23:00.706',0.050,-0.240
'23:00.708',0.055,-0.245
'23:00.711',0.080,-0.240
'23:00.714',0.100,-0.235
'23:00.717',0.085,-0.245
'23:00.719',0.090,-0.235
'23:00.722',0.090,-0.230
'23:00.725',0.080,-0.220
'23:00.728',0.095,-0.220
'23:00.731',0.095,-0.195
'23:00.733',0.075,-0.185
'23:00.736',0.060,-0.170
'23:00.739',0.035,-0.165
'23:00.742',0.000,-0.175
'23:00.744',-0.010,-0.165
'23:00.747',-0.010,-0.150
'23:00.750',-0.025,-0.140
'23:00.753',-0.045,-0.115
'23:00.756',-0.070,-0.100
'23:00.758',-0.080,-0.085
'23:00.761',-0.085,-0.080
'23:00.764',-0.080,-0.055
'23:00.767',-0.110,-0.045
'23:00.769',-0.115,-0.040
'23:00.772',-0.135,-0.030
'23:00.775',-0.145,-0.045
'23:00.778',-0.145,-0.025
'23:00.781',-0.150,-0.020
'23:00.783',-0.150,-0.005
'23:00.786',-0.165,-0.005
'23:00.789',-0.175,-0.010
'23:00.792',-0.185,-0.020
'23:00.794',-0.190,-0.020
'23:00.797',-0.195,-0.020
'23:00.800',-0.200,-0.015
'23:00.803',-0.200,0.000
'23:00.806',-0.200,-0.005
'23:00.808',-0.195,-0.005
'23:00.811',-0.195,-0.005
'23:00.814',-0.185,-0.005
'23:00.817',-0.185,-0.025
'23:00.819',-0.185,-0.025
'23:00.822',-0.195,-0.030
'23:00.825',-0.205,-0.040
'23:00.828',-0.215,-0.030
'23:00.831',-0.235,-0.050
'23:00.833',-0.235,-0.055
'23:00.836',-0.240,-0.055
'23:00.839',-0.250,-0.050
'23:00.842',-0.235,-0.050
'23:00.844',-0.220,-0.040
