'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'1:00.000',-0.380,0.000
'1:00.003',-0.330,-0.015
'1:00.006',-0.250,-0.005
'1:00.008',-0.150,-0.010
'1:00.011',-0.055,-0.020
'1:00.014',0.025,-0.020
'1:00.017',0.085,-0.025
'1:00.019',0.120,-0.025
'1:00.022',0.155,0.000
'1:00.025',0.180,0.015
'1:00.028',0.205,0.015
'1:00.031',0.215,0.010
'1:00.033',0.210,0.000
'1:00.036',0.200,-0.005
'1:00.039',0.215,0.015
'1:00.042',0.230,0.020
'1:00.044',0.255,0.030
'1:00.047',0.270,0.035
'1:00.050',0.275,0.020
'1:00.053',0.280,0.010
'1:00.056',0.300,0.010
'1:00.058',0.340,0.030
'1:00.061',0.365,0.030
'1:00.064',0.410,0.025
'1:00.067',0.430,0.020
'1:00.069',0.445,0.030
'1:00.072',0.470,0.020
'1:00.075',0.490,0.030
'1:00.078',0.525,0.035
'1:00.081',0.570,0.025
'1:00.083',0.645,0.025
'1:00.086',0.710,0.035
'1:00.089',0.710,0.045
'1:00.092',0.630,0.060
'1:00.094',0.535,0.050
'1:00.097',0.485,0.045
'1:00.100',0.490,0.045
'1:00.103',0.555,0.040
'1:00.106',0.615,0.055
'1:00.108',0.635,0.070
'1:00.111',0.610,0.080
'1:00.114',0.580,0.070
'1:00.117',0.585,0.050
'1:00.119',0.635,0.055
'1:00.122',0.680,0.070
'1:00.125',0.690,0.070
'1:00.128',0.695,0.080
'1:00.131',0.685,0.105
'1:00.133',0.695,0.085
'1:00.136',0.695,0.060
'1:00.139',0.690,0.065
'1:00.142',0.695,0.090
'1:00.144',0.680,0.060
'1:00.147',0.670,0.070
'1:00.150',0.635,0.060
'1:00.153',0.610,0.070
'1:00.156',0.585,0.070
'1:00.158',0.555,0.060
'1:00.161',0.540,0.060
'1:00.164',0.530,0.065
'1:00.167',0.515,0.055
'1:00.169',0.500,0.060
'1:00.172',0.500,0.065
'1:00.175',0.495,0.080
'1:00.178',0.485,0.065
'1:00.181',0.430,0.055
'1:00.183',0.385,0.055
'1:00.186',0.310,0.045
'1:00.189',0.210,0.045
'1:00.192',0.120,0.070
'1:00.194',0.075,0.075
'1:00.197',0.085,0.040
'1:00.200',0.120,0.035
'1:00.203',0.110,0.035
'1:00.206',0.100,0.040
'1:00.208',0.085,0.050
'1:00.211',0.065,0.045
'1:00.214',0.050,0.060
'1:00.217',0.030,0.035
'1:00.219',0.030,0.025
'1:00.222',0.040,0.025
'1:00.225',0.040,0.045
'1:00.228',0.020,0.030
'1:00.231',0.020,0.015
'1:00.233',-0.020,0.025
'1:00.236',-0.035,0.015
'1:00.239',-0.015,0.015
'1:00.242',0.000,0.010
'1:00.244',0.000,0.015
'1:00.247',0.015,0.010
'1:00.250',0.015,-0.005
'1:00.253',-0.010,0.005
'1:00.256',-0.045,0.030
