'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'27:00.000',-0.545,0.135
'27:00.003',-0.520,0.145
'27:00.006',-0.515,0.125
'27:00.008',-0.500,0.120
'27:00.011',-0.490,0.110
'27:00.014',-0.500,0.120
'27:00.017',-0.475,0.125
'27:00.019',-0.450,0.125
'27:00.022',-0.430,0.095
'27:00.025',-0.415,0.085
'27:00.028',-0.425,0.090
'27:00.031',-0.405,0.090
'27:00.033',-0.385,0.110
'27:00.036',-0.355,0.120
'27:00.039',-0.335,0.090
'27:00.042',-0.345,0.075
'27:00.044',-0.360,0.080
'27:00.047',-0.345,0.090
'27:00.050',-0.305,0.100
'27:00.053',-0.290,0.100
'27:00.056',-0.300,0.085
'27:00.058',-0.315,0.065
'27:00.061',-0.300,0.075
'27:00.064',-0.290,0.085
'27:00.067',-0.265,0.100
'27:00.069',-0.240,0.105
'27:00.072',-0.255,0.105
'27:00.075',-0.265,0.095
'27:00.078',-0.240,0.105
'27:00.081',-0.235,0.115
'27:00.083',-0.225,0.125
'27:00.086',-0.220,0.150
'27:00.089',-0.205,0.140
'27:00.092',-0.195,0.115
'27:00.094',-0.210,0.120
'27:00.097',-0.195,0.140
'27:00.100',-0.190,0.145
'27:00.103',-0.180,0.140
'27:00.106',-0.190,0.125
'27:00.108',-0.185,0.105
'27:00.111',-0.215,0.120
'27:00.114',-0.215,0.125
'27:00.117',-0.200,0.145
'27:00.119',-0.195,0.125
'27:00.122',-0.200,0.125
'27:00.125',-0.230,0.115
'27:00.128',-0.255,0.120
'27:00.131',-0.265,0.140
'27:00.133',-0.265,0.155
'27:00.136',-0.260,0.160
'27:00.139',-0.285,0.145
'27:00.142',-0.315,0.115
'27:00.144',-0.325,0.130
'27:00.147',-0.315,0.155
'27:00.150',-0.320,0.175
'27:00.153',-0.320,0.160
'27:00.156',-0.335,0.145
'27:00.158',-0.340,0.125
'27:00.161',-0.340,0.130
'27:00.164',-0.345,0.130
'27:00.167',-0.355,0.150
'27:00.169',-0.335,0.130
'27:00.172',-0.340,0.125
'27:00.175',-0.355,0.100
'27:00.178',-0.370,0.105
'27:00.181',-0.375,0.115
'27:00.183',-0.350,0.120
'27:00.186',-0.315,0.135
'27:00.189',-0.315,0.100
'27:00.192',-0.345,0.090
'27:00.194',-0.355,0.085
'27:00.197',-0.320,0.080
'27:00.200',-0.310,0.095
'27:00.203',-0.305,0.075
'27:00.206',-0.310,0.060
'27:00.208',-0.320,0.060
'27:00.211',-0.315,0.060
'27:00.214',-0.300,0.090
'27:00.217',-0.280,0.105
'27:00.219',-0.250,0.115
'27:00.222',-0.210,0.120
'27:00.225',-0.140,0.115
'27:00.228',-0.075,0.145
'27:00.231',-0.005,0.185
'27:00.233',0.045,0.245
'27:00.236',0.070,0.315
'27:00.239',0.015,0.355
'27:00.242',-0.095,0.385
'27:00.244',-0.255,0.430
'27:00.247',-0.455,0.495
'27:00.250',-0.595,0.525
'27:00.253',-0.620,0.505
'27:00.256',-0.510,0.460
'27:00.258',-0.355,0.380
'27:00.261',-0.255,0.285
'27:00.264',-0.195,0.180
'27:00.267',-0.085,0.095
'27:00.269',0.090,0.020
'27:00.272',0.220,-0.065
'27:00.275',0.280,-0.130
'27:00.278',0.290,-0.205
'27:00.281',0.295,-0.230
'27:00.283',0.265,-0.260
'27:00.286',0.225,-0.265
'27:00.289',0.160,-0.265
'27:00.292',0.050,-0.255
'27:00.294',-0.075,-0.230
'27:00.297',-0.200,-0.175
'27:00.300',-0.285,-0.130
'27:00.303',-0.330,-0.100
'27:00.306',-0.370,-0.080
'27:00.308',-0.405,-0.065
'27:00.311',-0.420,-0.020
'27:00.314',-0.415,0.005
'27:00.317',-0.410,0.035
'27:00.319',-0.390,0.020
'27:00.322',-0.410,0.020
'27:00.325',-0.420,0.000
'27:00.328',-0.420,0.005
'27:00.331',-0.420,0.015
'27:00.333',-0.405,0.035
'27:00.336',-0.400,0.025
'27:00.339',-0.405,0.020
'27:00.342',-0.425,-0.005
'27:00.344',-0.430,0.000
'27:00.347',-0.445,0.005
'27:00.350',-0.425,0.010
'27:00.353',-0.405,0.025
'27:00.356',-0.405,0.005
'27:00.358',-0.425,-0.010
'27:00.361',-0.440,-0.010
'27:00.364',-0.435,0.010
'27:00.367',-0.415,0.020
'27:00.369',-0.400,0.010
'27:00.372',-0.415,0.005
'27:00.375',-0.420,0.005
'27:00.378',-0.420,-0.005
'27:00.381',-0.410,0.020
'27:00.383',-0.395,0.035
'27:00.386',-0.365,0.035
'27:00.389',-0.360,0.030
'27:00.392',-0.340,0.020
'27:00.394',-0.340,0.030
'27:00.397',-0.355,0.050
