'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'14:00.000',-0.930,-0.140
'14:00.003',-0.950,-0.115
'14:00.006',-0.965,-0.120
'14:00.008',-0.980,-0.115
'14:00.011',-0.980,-0.110
'14:00.014',-0.970,-0.115
'14:00.017',-0.965,-0.100
'14:00.019',-0.960,-0.090
'14:00.022',-0.980,-0.090
'14:00.025',-0.995,-0.080
'14:00.028',-1.015,-0.070
'14:00.031',-1.040,-0.055
'14:00.033',-1.045,-0.050
'14:00.036',-1.040,-0.040
'14:00.039',-1.040,-0.030
'14:00.042',-1.020,-0.030
'14:00.044',-1.015,-0.010
'14:00.047',-1.015,-0.005
'14:00.050',-1.005,0.010
'14:00.053',-1.005,0.020
'14:00.056',-1.020,0.025
'14:00.058',-1.050,0.025
'14:00.061',-1.060,0.025
'14:00.064',-1.040,0.040
'14:00.067',-1.035,0.060
'14:00.069',-1.020,0.065
'14:00.072',-1.005,0.095
'14:00.075',-1.000,0.115
'14:00.078',-0.985,0.125
'14:00.081',-0.990,0.135
'14:00.083',-0.995,0.125
'14:00.086',-0.980,0.120
'14:00.089',-0.975,0.140
'14:00.092',-0.935,0.140
'14:00.094',-0.925,0.155
'14:00.097',-0.910,0.170
'14:00.100',-0.895,0.185
'14:00.103',-0.890,0.200
'14:00.106',-0.870,0.210
'14:00.108',-0.855,0.215
'14:00.111',-0.830,0.235
'14:00.114',-0.795,0.230
'14:00.117',-0.775,0.250
'14:00.119',-0.750,0.255
'14:00.122',-0.730,0.265
'14:00.125',-0.710,0.270
'14:00.128',-0.700,0.265
'14:00.131',-0.695,0.275
'14:00.133',-0.655,0.280
'14:00.136',-0.620,0.285
'14:00.139',-0.575,0.290
'14:00.142',-0.535,0.300
'14:00.144',-0.510,0.315
'14:00.147',-0.475,0.305
'14:00.150',-0.455,0.310
'14:00.153',-0.450,0.305
'14:00.156',-0.430,0.285
'14:00.158',-0.400,0.270
'14:00.161',-0.370,0.245
'14:00.164',-0.345,0.245
'14:00.167',-0.310,0.255
'14:00.169',-0.270,0.260
'14:00.172',-0.245,0.260
'14:00.175',-0.215,0.245
'14:00.178',-0.190,0.235
'14:00.181',-0.165,0.210
'14:00.183',-0.125,0.190
'14:00.186',-0.095,0.165
'14:00.189',-0.075,0.140
'14:00.192',-0.065,0.125
'14:00.194',-0.060,0.115
'14:00.197',-0.075,0.105
'14:00.200',-0.080,0.105
'14:00.203',-0.070,0.100
'14:00.206',-0.050,0.090
'14:00.208',-0.035,0.080
'14:00.211',-0.020,0.065
'14:00.214',-0.030,0.045
'14:00.217',-0.020,0.050
'14:00.219',-0.040,0.025
'14:00.222',-0.085,0.035
'14:00.225',-0.100,0.025
'14:00.228',-0.120,-0.005
'14:00.231',-0.135,-0.010
'14:00.233',-0.160,-0.020
'14:00.236',-0.170,-0.010
'14:00.239',-0.175,0.000
'14:00.242',-0.215,0.025
'14:00.244',-0.235,0.020
'14:00.247',-0.250,0.020
'14:00.250',-0.285,0.040
'14:00.253',-0.305,0.030
'14:00.256',-0.315,0.035
'14:00.258',-0.345,0.025
'14:00.261',-0.380,0.035
'14:00.264',-0.410,0.055
'14:00.267',-0.445,0.080
'14:00.269',-0.455,0.090
'14:00.272',-0.475,0.105
'14:00.275',-0.480,0.125
'14:00.278',-0.495,0.120
'14:00.281',-0.505,0.125
'14:00.283',-0.530,0.140
'14:00.286',-0.540,0.140
'14:00.289',-0.570,0.150
'14:00.292',-0.580,0.155
'14:00.294',-0.605,0.150
'14:00.297',-0.620,0.160
'14:00.300',-0.620,0.170
'14:00.303',-0.630,0.185
'14:00.306',-0.615,0.205
'14:00.308',-0.610,0.225
'14:00.311',-0.610,0.270
'14:00.314',-0.595,0.295
'14:00.317',-0.600,0.325
'14:00.319',-0.600,0.345
'14:00.322',-0.610,0.360
'14:00.325',-0.600,0.375
