'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'25:00.000',0.435,-0.180
'25:00.003',0.450,-0.175
'25:00.006',0.480,-0.180
'25:00.008',0.510,-0.160
'25:00.011',0.540,-0.125
'25:00.014',0.595,-0.100
'25:00.017',0.670,-0.090
'25:00.019',0.760,-0.055
'25:00.022',0.855,-0.070
'25:00.025',0.995,-0.080
'25:00.028',1.130,-0.105
'25:00.031',1.305,-0.135
'25:00.033',1.495,-0.180
'25:00.036',1.730,-0.235
'25:00.039',1.955,-0.300
'25:00.042',2.165,-0.360
'25:00.044',2.320,-0.400
'25:00.047',2.440,-0.430
'25:00.050',2.535,-0.475
'25:00.053',2.590,-0.530
'25:00.056',2.605,-0.600
'25:00.058',2.570,-0.700
'25:00.061',2.460,-0.820
'25:00.064',2.260,-0.920
'25:00.067',1.950,-1.005
'25:00.069',1.565,-1.040
'25:00.072',1.180,-1.055
'25:00.075',0.810,-1.040
'25:00.078',0.530,-0.970
'25:00.081',0.355,-0.890
'25:00.083',0.290,-0.815
'25:00.086',0.285,-0.735
'25:00.089',0.330,-0.685
'25:00.092',0.370,-0.630
'25:00.094',0.395,-0.610
'25:00.097',0.395,-0.575
'25:00.100',0.390,-0.555
'25:00.103',0.370,-0.515
'25:00.106',0.355,-0.495
'25:00.108',0.330,-0.445
'25:00.111',0.330,-0.400
'25:00.114',0.345,-0.355
'25:00.117',0.360,-0.315
'25:00.119',0.370,-0.275
'25:00.122',0.380,-0.260
'25:00.125',0.380,-0.250
'25:00.128',0.365,-0.245
'25:00.131',0.365,-0.260
'25:00.133',0.365,-0.250
'25:00.136',0.350,-0.275
'25:00.139',0.335,-0.265
'25:00.142',0.315,-0.280
'25:00.144',0.300,-0.275
'25:00.147',0.285,-0.260
'25:00.150',0.290,-0.255
'25:00.153',0.280,-0.225
'25:00.156',0.290,-0.205
'25:00.158',0.315,-0.200
'25:00.161',0.305,-0.220
'25:00.164',0.320,-0.230
'25:00.167',0.295,-0.240
'25:00.169',0.270,-0.240
'25:00.172',0.240,-0.235
'25:00.175',0.215,-0.220
'25:00.178',0.215,-0.220
'25:00.181',0.235,-0.235
'25:00.183',0.260,-0.255
'25:00.186',0.270,-0.280
'25:00.189',0.270,-0.290
'25:00.192',0.280,-0.300
'25:00.194',0.265,-0.280
'25:00.197',0.255,-0.285
'25:00.200',0.255,-0.290
'25:00.203',0.240,-0.275
'25:00.206',0.220,-0.290
'25:00.208',0.200,-0.295
'25:00.211',0.155,-0.290
'25:00.214',0.140,-0.290
'25:00.217',0.130,-0.260
'25:00.219',0.135,-0.250
'25:00.222',0.145,-0.245
'25:00.225',0.155,-0.240
'25:00.228',0.150,-0.250
'25:00.231',0.130,-0.250
'25:00.233',0.130,-0.270
'25:00.236',0.130,-0.285
'25:00.239',0.120,-0.280
'25:00.242',0.120,-0.290
'25:00.244',0.110,-0.270
'25:00.247',0.105,-0.265
'25:00.250',0.100,-0.260
'25:00.253',0.115,-0.260
'25:00.256',0.130,-0.250
'25:00.258',0.125,-0.245
'25:00.261',0.135,-0.260
'25:00.264',0.105,-0.255
'25:00.267',0.085,-0.265
'25:00.269',0.055,-0.250
'25:00.272',0.035,-0.245
'25:00.275',-0.005,-0.245
'25:00.278',0.000,-0.225
'25:00.281',0.005,-0.230
'25:00.283',0.000,-0.230
'25:00.286',0.030,-0.225
'25:00.289',0.050,-0.195
'25:00.292',0.090,-0.200
'25:00.294',0.095,-0.195
'25:00.297',0.080,-0.190
'25:00.300',0.085,-0.195
'25:00.303',0.070,-0.215
'25:00.306',0.060,-0.245
'25:00.308',0.050,-0.270
'25:00.311',0.050,-0.285
'25:00.314',0.065,-0.275
'25:00.317',0.090,-0.250
'25:00.319',0.115,-0.255
'25:00.322',0.160,-0.245
'25:00.325',0.180,-0.250
'25:00.328',0.205,-0.265
'25:00.331',0.240,-0.265
'25:00.333',0.230,-0.270
'25:00.336',0.235,-0.260
'25:00.339',0.240,-0.255
'25:00.342',0.240,-0.250
'25:00.344',0.225,-0.240
'25:00.347',0.230,-0.245
'25:00.350',0.240,-0.240
'25:00.353',0.260,-0.230
'25:00.356',0.285,-0.215
'25:00.358',0.325,-0.220
'25:00.361',0.350,-0.210
'25:00.364',0.360,-0.220
'25:00.367',0.365,-0.215
'25:00.369',0.360,-0.250
'25:00.372',0.350,-0.285
'25:00.375',0.350,-0.330
'25:00.378',0.330,-0.335
'25:00.381',0.335,-0.350
'25:00.383',0.335,-0.340
'25:00.386',0.355,-0.315
'25:00.389',0.350,-0.290
'25:00.392',0.365,-0.290
'25:00.394',0.380,-0.285
'25:00.397',0.390,-0.265
'25:00.400',0.380,-0.295
'25:00.403',0.370,-0.295
'25:00.406',0.365,-0.305
'25:00.408',0.355,-0.330
'25:00.411',0.365,-0.345
'25:00.414',0.335,-0.350
'25:00.417',0.330,-0.355
'25:00.419',0.315,-0.345
'25:00.422',0.290,-0.320
'25:00.425',0.295,-0.285
'25:00.428',0.300,-0.290
'25:00.431',0.300,-0.285
'25:00.433',0.320,-0.285
'25:00.436',0.325,-0.295
'25:00.439',0.320,-0.315
'25:00.442',0.315,-0.300
'25:00.444',0.300,-0.300
'25:00.447',0.270,-0.310
'25:00.450',0.265,-0.300
'25:00.453',0.245,-0.300
'25:00.456',0.235,-0.320
'25:00.458',0.235,-0.310
'25:00.461',0.225,-0.315
'25:00.464',0.215,-0.310
'25:00.467',0.210,-0.310
'25:00.469',0.200,-0.280
'25:00.472',0.185,-0.240
'25:00.475',0.200,-0.225
'25:00.478',0.195,-0.235
'25:00.481',0.205,-0.265
'25:00.483',0.210,-0.300
'25:00.486',0.220,-0.345
'25:00.489',0.215,-0.350
'25:00.492',0.220,-0.325
'25:00.494',0.220,-0.290
'25:00.497',0.220,-0.265
'25:00.500',0.200,-0.255
'25:00.503',0.200,-0.250
'25:00.506',0.205,-0.275
'25:00.508',0.220,-0.315
'25:00.511',0.235,-0.355
'25:00.514',0.225,-0.375
'25:00.517',0.240,-0.385
'25:00.519',0.240,-0.370
'25:00.522',0.210,-0.355
'25:00.525',0.185,-0.350
'25:00.528',0.170,-0.325
'25:00.531',0.165,-0.295
'25:00.533',0.180,-0.295
'25:00.536',0.190,-0.305
'25:00.539',0.205,-0.310
'25:00.542',0.215,-0.310
'25:00.544',0.225,-0.315
'25:00.547',0.240,-0.295
'25:00.550',0.260,-0.290
'25:00.553',0.265,-0.280
'25:00.556',0.270,-0.285
'25:00.558',0.265,-0.275
'25:00.561',0.255,-0.270
'25:00.564',0.255,-0.260
'25:00.567',0.270,-0.250
'25:00.569',0.285,-0.230
'25:00.572',0.310,-0.245
'25:00.575',0.310,-0.235
'25:00.578',0.300,-0.250
'25:00.581',0.310,-0.260
'25:00.583',0.330,-0.260
'25:00.586',0.345,-0.275
'25:00.589',0.385,-0.260
'25:00.592',0.405,-0.285
'25:00.594',0.410,-0.290
'25:00.597',0.400,-0.315
'25:00.600',0.360,-0.325
'25:00.603',0.340,-0.335
'25:00.606',0.320,-0.360
'25:00.608',0.335,-0.335
'25:00.611',0.350,-0.330
'25:00.614',0.360,-0.295
'25:00.617',0.360,-0.260
'25:00.619',0.340,-0.255
'25:00.622',0.310,-0.240
'25:00.625',0.280,-0.265
'25:00.628',0.245,-0.295
'25:00.631',0.230,-0.305
'25:00.633',0.200,-0.320
'25:00.636',0.205,-0.325
'25:00.639',0.215,-0.330
'25:00.642',0.215,-0.340
'25:00.644',0.240,-0.340
'25:00.647',0.250,-0.330
'25:00.650',0.255,-0.320
'25:00.653',0.250,-0.305
'25:00.656',0.245,-0.295
'25:00.658',0.230,-0.275
'25:00.661',0.195,-0.275
'25:00.664',0.185,-0.240
'25:00.667',0.185,-0.210
'25:00.669',0.185,-0.190
'25:00.672',0.210,-0.195
'25:00.675',0.240,-0.210
'25:00.678',0.270,-0.240
'25:00.681',0.280,-0.250
'25:00.683',0.300,-0.265
'25:00.686',0.320,-0.290
'25:00.689',0.335,-0.315
'25:00.692',0.345,-0.355
'25:00.694',0.350,-0.395
'25:00.697',0.350,-0.425
'25:00.700',0.350,-0.425
'25:00.703',0.380,-0.405
'25:00.706',0.440,-0.390
'25:00.708',0.515,-0.350
'25:00.711',0.630,-0.335
'25:00.714',0.770,-0.310
'25:00.717',0.905,-0.295
'25:00.719',1.080,-0.300
'25:00.722',1.260,-0.305
'25:00.725',1.450,-0.305
'25:00.728',1.635,-0.350
