'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'22:00.000',-0.210,0.165
'22:00.003',-0.200,0.160
'22:00.006',-0.170,0.175
'22:00.008',-0.160,0.185
'22:00.011',-0.125,0.195
'22:00.014',-0.090,0.190
'22:00.017',-0.070,0.180
'22:00.019',-0.025,0.170
'22:00.022',0.005,0.175
'22:00.025',0.055,0.165
'22:00.028',0.125,0.165
'22:00.031',0.170,0.160
'22:00.033',0.225,0.140
'22:00.036',0.285,0.150
'22:00.039',0.365,0.140
'22:00.042',0.445,0.150
'22:00.044',0.540,0.155
'22:00.047',0.605,0.155
'22:00.050',0.615,0.135
'22:00.053',0.545,0.095
'22:00.056',0.385,0.055
'22:00.058',0.135,0.020
'22:00.061',-0.195,-0.025
'22:00.064',-0.585,-0.065
'22:00.067',-0.960,-0.075
'22:00.069',-1.270,-0.080
'22:00.072',-1.505,-0.070
'22:00.075',-1.675,-0.060
'22:00.078',-1.790,-0.060
'22:00.081',-1.895,-0.050
'22:00.083',-1.980,-0.025
'22:00.086',-2.030,0.025
'22:00.089',-2.080,0.110
'22:00.092',-2.100,0.225
'22:00.094',-2.115,0.365
'22:00.097',-2.115,0.510
'22:00.100',-2.090,0.665
'22:00.103',-2.040,0.810
'22:00.106',-1.955,0.940
'22:00.108',-1.845,1.050
'22:00.111',-1.725,1.130
'22:00.114',-1.605,1.175
'22:00.117',-1.510,1.210
'22:00.119',-1.460,1.260
'22:00.122',-1.420,1.300
'22:00.125',-1.385,1.325
'22:00.128',-1.355,1.340
'22:00.131',-1.270,1.295
'22:00.133',-1.185,1.205
'22:00.136',-1.090,1.035
'22:00.139',-1.030,0.810
'22:00.142',-0.990,0.550
'22:00.144',-0.955,0.290
'22:00.147',-0.890,0.060
'22:00.150',-0.840,-0.085
'22:00.153',-0.770,-0.145
'22:00.156',-0.675,-0.140
'22:00.158',-0.570,-0.095
'22:00.161',-0.455,-0.045
'22:00.164',-0.325,0.005
'22:00.167',-0.195,0.045
'22:00.169',-0.075,0.070
'22:00.172',0.015,0.080
'22:00.175',0.085,0.085
'22:00.178',0.125,0.065
'22:00.181',0.145,0.030
'22:00.183',0.150,-0.020
'22:00.186',0.155,-0.065
'22:00.189',0.160,-0.105
'22:00.192',0.165,-0.115
'22:00.194',0.180,-0.090
'22:00.197',0.200,-0.060
'22:00.200',0.215,-0.040
'22:00.203',0.220,-0.025
'22:00.206',0.230,-0.030
'22:00.208',0.255,-0.025
'22:00.211',0.270,-0.010
'22:00.214',0.290,-0.010
'22:00.217',0.290,-0.015
'22:00.219',0.305,-0.020
'22:00.222',0.300,-0.025
'22:00.225',0.305,-0.040
'22:00.228',0.310,-0.055
