'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'6:00.000',0.090,-0.260
'6:00.003',0.050,-0.200
'6:00.006',0.040,-0.155
'6:00.008',0.020,-0.130
'6:00.011',-0.025,-0.085
'6:00.014',-0.085,-0.045
'6:00.017',-0.115,0.010
'6:00.019',-0.150,0.060
'6:00.022',-0.165,0.135
'6:00.025',-0.200,0.175
'6:00.028',-0.240,0.185
'6:00.031',-0.280,0.230
'6:00.033',-0.330,0.245
'6:00.036',-0.360,0.305
'6:00.039',-0.380,0.325
'6:00.042',-0.390,0.355
'6:00.044',-0.395,0.350
'6:00.047',-0.410,0.345
'6:00.050',-0.420,0.355
'6:00.053',-0.435,0.385
'6:00.056',-0.425,0.405
'6:00.058',-0.420,0.420
'6:00.061',-0.420,0.430
'6:00.064',-0.435,0.415
'6:00.067',-0.450,0.445
'6:00.069',-0.445,0.455
'6:00.072',-0.420,0.480
'6:00.075',-0.425,0.490
'6:00.078',-0.440,0.480
'6:00.081',-0.445,0.495
'6:00.083',-0.455,0.505
'6:00.086',-0.450,0.540
'6:00.089',-0.450,0.565
'6:00.092',-0.450,0.565
'6:00.094',-0.455,0.570
'6:00.097',-0.475,0.570
'6:00.100',-0.470,0.600
'6:00.103',-0.475,0.630
'6:00.106',-0.485,0.650
'6:00.108',-0.470,0.680
'6:00.111',-0.475,0.685
'6:00.114',-0.490,0.680
'6:00.117',-0.510,0.720
'6:00.119',-0.500,0.755
'6:00.122',-0.500,0.785
'6:00.125',-0.505,0.805
'6:00.128',-0.520,0.795
'6:00.131',-0.535,0.805
'6:00.133',-0.545,0.805
'6:00.136',-0.555,0.845
'6:00.139',-0.540,0.870
'6:00.142',-0.540,0.880
'6:00.144',-0.555,0.890
'6:00.147',-0.590,0.880
'6:00.150',-0.605,0.890
'6:00.153',-0.580,0.895
'6:00.156',-0.565,0.925
'6:00.158',-0.575,0.920
'6:00.161',-0.595,0.915
'6:00.164',-0.605,0.905
'6:00.167',-0.630,0.890
'6:00.169',-0.625,0.885
'6:00.172',-0.605,0.905
'6:00.175',-0.580,0.880
'6:00.178',-0.595,0.850
'6:00.181',-0.605,0.830
'6:00.183',-0.635,0.805
'6:00.186',-0.615,0.815
'6:00.189',-0.585,0.795
'6:00.192',-0.565,0.755
'6:00.194',-0.550,0.705
'6:00.197',-0.555,0.655
'6:00.200',-0.550,0.610
'6:00.203',-0.525,0.585
'6:00.206',-0.495,0.575
'6:00.208',-0.460,0.545
'6:00.211',-0.425,0.485
'6:00.214',-0.415,0.425
'6:00.217',-0.405,0.410
'6:00.219',-0.385,0.390
'6:00.222',-0.355,0.370
'6:00.225',-0.315,0.350
'6:00.228',-0.315,0.315
'6:00.231',-0.305,0.270
'6:00.233',-0.290,0.255
'6:00.236',-0.270,0.245
'6:00.239',-0.260,0.240
'6:00.242',-0.230,0.230
'6:00.244',-0.240,0.200
'6:00.247',-0.255,0.155
'6:00.250',-0.235,0.180
'6:00.253',-0.230,0.185
'6:00.256',-0.215,0.190
'6:00.258',-0.205,0.165
'6:00.261',-0.235,0.145
'6:00.264',-0.230,0.135
'6:00.267',-0.220,0.125
'6:00.269',-0.205,0.140
'6:00.272',-0.195,0.175
'6:00.275',-0.170,0.170
'6:00.278',-0.160,0.175
'6:00.281',-0.165,0.160
'6:00.283',-0.135,0.190
'6:00.286',-0.070,0.220
'6:00.289',0.040,0.290
'6:00.292',0.160,0.315
'6:00.294',0.275,0.380
'6:00.297',0.390,0.425
