'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'20:00.000',-0.315,0.185
'20:00.003',-0.315,0.185
'20:00.006',-0.315,0.230
'20:00.008',-0.310,0.230
'20:00.011',-0.295,0.210
'20:00.014',-0.305,0.185
'20:00.017',-0.305,0.185
'20:00.019',-0.325,0.190
'20:00.022',-0.345,0.215
'20:00.025',-0.345,0.235
'20:00.028',-0.305,0.235
'20:00.031',-0.295,0.230
'20:00.033',-0.300,0.220
'20:00.036',-0.295,0.230
'20:00.039',-0.270,0.235
'20:00.042',-0.245,0.245
'20:00.044',-0.235,0.230
'20:00.047',-0.240,0.210
'20:00.050',-0.240,0.210
'20:00.053',-0.240,0.235
'20:00.056',-0.230,0.255
'20:00.058',-0.200,0.280
'20:00.061',-0.190,0.235
'20:00.064',-0.200,0.225
'20:00.067',-0.225,0.190
'20:00.069',-0.235,0.175
'20:00.072',-0.250,0.195
'20:00.075',-0.245,0.210
'20:00.078',-0.255,0.195
'20:00.081',-0.265,0.200
'20:00.083',-0.295,0.175
'20:00.086',-0.305,0.160
'20:00.089',-0.335,0.165
'20:00.092',-0.335,0.170
'20:00.094',-0.345,0.180
'20:00.097',-0.335,0.155
'20:00.100',-0.330,0.160
'20:00.103',-0.330,0.165
'20:00.106',-0.345,0.190
'20:00.108',-0.360,0.210
'20:00.111',-0.350,0.210
'20:00.114',-0.350,0.205
'20:00.117',-0.335,0.195
'20:00.119',-0.345,0.195
'20:00.122',-0.350,0.200
'20:00.125',-0.345,0.210
'20:00.128',-0.350,0.210
'20:00.131',-0.365,0.205
'20:00.133',-0.370,0.185
'20:00.136',-0.350,0.195
'20:00.139',-0.335,0.205
'20:00.142',-0.325,0.205
'20:00.144',-0.330,0.185
'20:00.147',-0.345,0.180
'20:00.150',-0.345,0.175
'20:00.153',-0.325,0.200
'20:00.156',-0.300,0.220
'20:00.158',-0.300,0.225
'20:00.161',-0.305,0.205
'20:00.164',-0.350,0.205
'20:00.167',-0.355,0.195
'20:00.169',-0.360,0.190
'20:00.172',-0.330,0.195
'20:00.175',-0.300,0.200
'20:00.178',-0.280,0.190
'20:00.181',-0.300,0.175
'20:00.183',-0.335,0.175
'20:00.186',-0.355,0.165
'20:00.189',-0.345,0.180
'20:00.192',-0.330,0.225
'20:00.194',-0.330,0.215
'20:00.197',-0.315,0.205
'20:00.200',-0.310,0.195
'20:00.203',-0.295,0.195
'20:00.206',-0.280,0.190
'20:00.208',-0.295,0.185
'20:00.211',-0.315,0.200
'20:00.214',-0.340,0.195
'20:00.217',-0.360,0.220
'20:00.219',-0.355,0.235
'20:00.222',-0.280,0.265
'20:00.225',-0.165,0.275
'20:00.228',-0.010,0.230
'20:00.231',0.150,0.180
'20:00.233',0.290,0.120
'20:00.236',0.450,0.065
'20:00.239',0.635,0.005
'20:00.242',0.805,-0.035
'20:00.244',0.855,-0.110
'20:00.247',0.805,-0.185
'20:00.250',0.610,-0.245
'20:00.253',0.410,-0.260
'20:00.256',0.200,-0.235
'20:00.258',-0.060,-0.200
'20:00.261',-0.405,-0.180
'20:00.264',-0.715,-0.150
'20:00.267',-0.930,-0.100
'20:00.269',-0.995,-0.025
'20:00.272',-0.915,0.065
'20:00.275',-0.785,0.150
'20:00.278',-0.655,0.175
'20:00.281',-0.565,0.175
'20:00.283',-0.495,0.170
'20:00.286',-0.440,0.180
'20:00.289',-0.390,0.190
'20:00.292',-0.335,0.205
'20:00.294',-0.280,0.180
'20:00.297',-0.280,0.180
'20:00.300',-0.285,0.175
'20:00.303',-0.310,0.180
'20:00.306',-0.310,0.210
'20:00.308',-0.310,0.230
'20:00.311',-0.280,0.230
'20:00.314',-0.270,0.195
'20:00.317',-0.265,0.165
'20:00.319',-0.280,0.185
'20:00.322',-0.290,0.190
'20:00.325',-0.270,0.210
'20:00.328',-0.245,0.195
'20:00.331',-0.245,0.180
'20:00.333',-0.250,0.180
'20:00.336',-0.265,0.190
'20:00.339',-0.250,0.210
'20:00.342',-0.200,0.230
'20:00.344',-0.180,0.205
'20:00.347',-0.205,0.195
'20:00.350',-0.215,0.175
'20:00.353',-0.210,0.175
'20:00.356',-0.190,0.180
'20:00.358',-0.155,0.180
'20:00.361',-0.110,0.190
'20:00.364',-0.100,0.165
'20:00.367',-0.090,0.140
'20:00.369',-0.090,0.160
'20:00.372',-0.075,0.160
'20:00.375',-0.050,0.155
'20:00.378',-0.025,0.155
'20:00.381',-0.010,0.130
'20:00.383',0.000,0.130
'20:00.386',0.015,0.110
'20:00.389',0.040,0.115
'20:00.392',0.065,0.130
'20:00.394',0.075,0.130
'20:00.397',0.080,0.110
'20:00.400',0.095,0.110
'20:00.403',0.110,0.085
'20:00.406',0.110,0.110
'20:00.408',0.155,0.120
'20:00.411',0.185,0.130
'20:00.414',0.185,0.115
'20:00.417',0.170,0.105
'20:00.419',0.145,0.090
'20:00.422',0.160,0.115
'20:00.425',0.150,0.125
'20:00.428',0.150,0.130
'20:00.431',0.135,0.115
'20:00.433',0.125,0.100
'20:00.436',0.125,0.105
'20:00.439',0.120,0.130
'20:00.442',0.110,0.145
'20:00.444',0.115,0.150
'20:00.447',0.090,0.130
'20:00.450',0.035,0.125
'20:00.453',-0.010,0.110
'20:00.456',-0.040,0.145
'20:00.458',-0.050,0.175
'20:00.461',-0.070,0.175
'20:00.464',-0.100,0.170
'20:00.467',-0.135,0.160
'20:00.469',-0.145,0.165
'20:00.472',-0.165,0.180
'20:00.475',-0.190,0.185
'20:00.478',-0.215,0.185
'20:00.481',-0.255,0.170
'20:00.483',-0.270,0.165
'20:00.486',-0.270,0.175
'20:00.489',-0.260,0.175
'20:00.492',-0.250,0.190
'20:00.494',-0.265,0.180
'20:00.497',-0.280,0.155
'20:00.500',-0.325,0.155
'20:00.503',-0.335,0.170
'20:00.506',-0.330,0.200
'20:00.508',-0.320,0.220
'20:00.511',-0.310,0.200
'20:00.514',-0.300,0.180
'20:00.517',-0.300,0.165
'20:00.519',-0.290,0.155
'20:00.522',-0.275,0.180
'20:00.525',-0.280,0.200
'20:00.528',-0.290,0.185
'20:00.531',-0.305,0.175
'20:00.533',-0.320,0.175
