'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'26:00.000',-0.050,-0.210
'26:00.003',0.005,-0.350
'26:00.006',0.075,-0.535
'26:00.008',0.145,-0.730
'26:00.011',0.230,-0.880
'26:00.014',0.305,-0.975
'26:00.017',0.350,-1.040
'26:00.019',0.365,-1.065
'26:00.022',0.365,-1.025
'26:00.025',0.370,-0.855
'26:00.028',0.355,-0.630
'26:00.031',0.285,-0.425
'26:00.033',0.160,-0.280
'26:00.036',0.060,-0.205
'26:00.039',0.060,-0.090
'26:00.042',0.100,0.015
'26:00.044',0.055,0.120
'26:00.047',-0.050,0.210
'26:00.050',-0.150,0.260
'26:00.053',-0.240,0.305
'26:00.056',-0.285,0.375
'26:00.058',-0.320,0.445
'26:00.061',-0.355,0.510
'26:00.064',-0.390,0.595
'26:00.067',-0.430,0.620
'26:00.069',-0.465,0.640
'26:00.072',-0.480,0.615
'26:00.075',-0.490,0.575
'26:00.078',-0.500,0.510
'26:00.081',-0.530,0.420
'26:00.083',-0.550,0.325
'26:00.086',-0.550,0.240
'26:00.089',-0.525,0.175
'26:00.092',-0.470,0.120
'26:00.094',-0.385,0.050
'26:00.097',-0.325,-0.005
'26:00.100',-0.265,-0.045
'26:00.103',-0.245,-0.075
'26:00.106',-0.220,-0.085
'26:00.108',-0.195,-0.085
'26:00.111',-0.175,-0.095
'26:00.114',-0.180,-0.115
'26:00.117',-0.195,-0.125
'26:00.119',-0.195,-0.130
'26:00.122',-0.200,-0.125
'26:00.125',-0.180,-0.135
'26:00.128',-0.175,-0.125
'26:00.131',-0.170,-0.130
'26:00.133',-0.180,-0.145
'26:00.136',-0.185,-0.155
'26:00.139',-0.175,-0.155
'26:00.142',-0.170,-0.150
'26:00.144',-0.160,-0.135
'26:00.147',-0.160,-0.160
'26:00.150',-0.175,-0.160
'26:00.153',-0.160,-0.175
'26:00.156',-0.165,-0.170
'26:00.158',-0.155,-0.165
'26:00.161',-0.145,-0.150
'26:00.164',-0.145,-0.145
'26:00.167',-0.135,-0.170
'26:00.169',-0.140,-0.175
'26:00.172',-0.140,-0.185
'26:00.175',-0.135,-0.175
'26:00.178',-0.135,-0.170
'26:00.181',-0.125,-0.175
'26:00.183',-0.115,-0.195
'26:00.186',-0.120,-0.200
'26:00.189',-0.110,-0.205
'26:00.192',-0.110,-0.195
'26:00.194',-0.095,-0.190
'26:00.197',-0.085,-0.200
'26:00.200',-0.070,-0.215
'26:00.203',-0.075,-0.230
'26:00.206',-0.065,-0.230
'26:00.208',-0.040,-0.230
'26:00.211',-0.040,-0.220
'26:00.214',-0.025,-0.235
'26:00.217',-0.020,-0.250
'26:00.219',-0.005,-0.265
'26:00.222',0.005,-0.260
'26:00.225',0.020,-0.265
'26:00.228',0.045,-0.270
'26:00.231',0.060,-0.275
'26:00.233',0.065,-0.295
'26:00.236',0.065,-0.310
'26:00.239',0.075,-0.305
'26:00.242',0.115,-0.305
'26:00.244',0.135,-0.310
'26:00.247',0.140,-0.330
'26:00.250',0.150,-0.335
'26:00.253',0.155,-0.345
'26:00.256',0.170,-0.345
'26:00.258',0.180,-0.340
'26:00.261',0.190,-0.335
'26:00.264',0.190,-0.335
'26:00.267',0.190,-0.340
'26:00.269',0.170,-0.355
'26:00.272',0.165,-0.335
'26:00.275',0.165,-0.315
'26:00.278',0.160,-0.315
'26:00.281',0.150,-0.310
'26:00.283',0.125,-0.310
'26:00.286',0.100,-0.295
'26:00.289',0.075,-0.285
'26:00.292',0.060,-0.265
'26:00.294',0.045,-0.255
'26:00.297',0.025,-0.230
'26:00.300',0.005,-0.230
'26:00.303',-0.015,-0.220
'26:00.306',-0.035,-0.195
