'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'13:00.000',0.675,-0.830
'13:00.003',0.695,-0.860
'13:00.006',0.715,-0.865
'13:00.008',0.745,-0.860
'13:00.011',0.775,-0.855
'13:00.014',0.810,-0.865
'13:00.017',0.825,-0.875
'13:00.019',0.845,-0.895
'13:00.022',0.855,-0.905
'13:00.025',0.910,-0.885
'13:00.028',0.950,-0.880
'13:00.031',0.985,-0.875
'13:00.033',1.000,-0.900
'13:00.036',1.040,-0.910
'13:00.039',1.065,-0.900
'13:00.042',1.105,-0.885
'13:00.044',1.150,-0.855
'13:00.047',1.170,-0.855
'13:00.050',1.160,-0.860
'13:00.053',1.165,-0.870
'13:00.056',1.175,-0.860
'13:00.058',1.210,-0.840
'13:00.061',1.215,-0.810
'13:00.064',1.215,-0.810
'13:00.067',1.230,-0.790
'13:00.069',1.225,-0.785
'13:00.072',1.200,-0.780
'13:00.075',1.200,-0.740
'13:00.078',1.175,-0.700
'13:00.081',1.170,-0.700
'13:00.083',1.150,-0.680
'13:00.086',1.115,-0.680
'13:00.089',1.060,-0.645
'13:00.092',1.030,-0.600
'13:00.094',1.005,-0.565
'13:00.097',0.965,-0.545
'13:00.100',0.925,-0.525
'13:00.103',0.875,-0.505
'13:00.106',0.815,-0.465
'13:00.108',0.785,-0.435
'13:00.111',0.740,-0.405
'13:00.114',0.700,-0.395
'13:00.117',0.625,-0.370
'13:00.119',0.585,-0.375
'13:00.122',0.545,-0.345
'13:00.125',0.535,-0.310
'13:00.128',0.505,-0.250
'13:00.131',0.480,-0.230
'13:00.133',0.405,-0.220
'13:00.136',0.335,-0.210
'13:00.139',0.265,-0.185
'13:00.142',0.225,-0.135
'13:00.144',0.185,-0.115
'13:00.147',0.160,-0.095
'13:00.150',0.100,-0.105
'13:00.153',0.045,-0.095
'13:00.156',-0.010,-0.085
'13:00.158',-0.035,-0.075
'13:00.161',-0.045,-0.055
'13:00.164',-0.070,-0.035
'13:00.167',-0.110,-0.050
'13:00.169',-0.150,-0.065
'13:00.172',-0.185,-0.040
'13:00.175',-0.185,-0.015
'13:00.178',-0.190,-0.005
'13:00.181',-0.195,-0.030
'13:00.183',-0.200,-0.045
'13:00.186',-0.215,-0.055
'13:00.189',-0.240,-0.045
'13:00.192',-0.245,-0.035
'13:00.194',-0.250,0.000
'13:00.197',-0.250,-0.015
'13:00.200',-0.260,-0.020
'13:00.203',-0.275,-0.035
'13:00.206',-0.265,-0.045
'13:00.208',-0.305,-0.030
'13:00.211',-0.290,-0.015
'13:00.214',-0.300,-0.015
'13:00.217',-0.310,-0.025
'13:00.219',-0.320,-0.040
'13:00.222',-0.310,-0.040
'13:00.225',-0.295,-0.030
