'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'9:00.000',-0.255,0.445
'9:00.003',-0.235,0.455
'9:00.006',-0.215,0.460
'9:00.008',-0.170,0.475
'9:00.011',-0.150,0.485
'9:00.014',-0.125,0.480
'9:00.017',-0.115,0.470
'9:00.019',-0.110,0.480
'9:00.022',-0.130,0.475
'9:00.025',-0.135,0.465
'9:00.028',-0.150,0.455
'9:00.031',-0.155,0.440
'9:00.033',-0.155,0.440
'9:00.036',-0.145,0.430
'9:00.039',-0.140,0.420
'9:00.042',-0.150,0.420
'9:00.044',-0.175,0.415
'9:00.047',-0.185,0.415
'9:00.050',-0.205,0.395
'9:00.053',-0.200,0.380
'9:00.056',-0.215,0.350
'9:00.058',-0.225,0.320
'9:00.061',-0.220,0.295
'9:00.064',-0.235,0.285
'9:00.067',-0.255,0.275
'9:00.069',-0.270,0.275
'9:00.072',-0.275,0.260
'9:00.075',-0.280,0.260
'9:00.078',-0.270,0.260
'9:00.081',-0.260,0.250
'9:00.083',-0.265,0.235
'9:00.086',-0.285,0.215
'9:00.089',-0.285,0.180
'9:00.092',-0.320,0.175
'9:00.094',-0.325,0.170
'9:00.097',-0.330,0.165
'9:00.100',-0.305,0.170
'9:00.103',-0.295,0.170
'9:00.106',-0.300,0.185
'9:00.108',-0.290,0.185
'9:00.111',-0.295,0.180
'9:00.114',-0.290,0.185
'9:00.117',-0.305,0.170
'9:00.119',-0.295,0.170
'9:00.122',-0.300,0.160
'9:00.125',-0.295,0.150
'9:00.128',-0.300,0.150
'9:00.131',-0.295,0.145
'9:00.133',-0.285,0.155
'9:00.136',-0.280,0.155
'9:00.139',-0.280,0.155
'9:00.142',-0.275,0.165
'9:00.144',-0.285,0.170
'9:00.147',-0.285,0.165
'9:00.150',-0.295,0.170
'9:00.153',-0.285,0.155
'9:00.156',-0.280,0.160
'9:00.158',-0.275,0.160
'9:00.161',-0.285,0.150
'9:00.164',-0.280,0.145
'9:00.167',-0.290,0.135
'9:00.169',-0.290,0.160
'9:00.172',-0.280,0.165
'9:00.175',-0.280,0.180
'9:00.178',-0.260,0.185
'9:00.181',-0.250,0.190
'9:00.183',-0.240,0.180
'9:00.186',-0.245,0.170
'9:00.189',-0.255,0.160
'9:00.192',-0.280,0.155
