'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'17:00.000',1.520,-0.655
'17:00.003',1.460,-0.490
'17:00.006',1.385,-0.325
'17:00.008',1.285,-0.165
'17:00.011',1.145,-0.040
'17:00.014',0.950,0.095
'17:00.017',0.730,0.205
'17:00.019',0.465,0.305
'17:00.022',0.190,0.390
'17:00.025',-0.075,0.430
'17:00.028',-0.285,0.435
'17:00.031',-0.440,0.390
'17:00.033',-0.535,0.325
'17:00.036',-0.575,0.225
'17:00.039',-0.585,0.130
'17:00.042',-0.585,0.025
'17:00.044',-0.600,-0.075
'17:00.047',-0.620,-0.145
'17:00.050',-0.645,-0.210
'17:00.053',-0.680,-0.255
'17:00.056',-0.700,-0.285
'17:00.058',-0.725,-0.300
'17:00.061',-0.730,-0.305
'17:00.064',-0.745,-0.310
'17:00.067',-0.755,-0.310
'17:00.069',-0.755,-0.310
'17:00.072',-0.775,-0.300
'17:00.075',-0.770,-0.300
'17:00.078',-0.775,-0.335
'17:00.081',-0.790,-0.335
'17:00.083',-0.795,-0.340
'17:00.086',-0.795,-0.355
'17:00.089',-0.805,-0.345
'17:00.092',-0.815,-0.350
'17:00.094',-0.825,-0.345
'17:00.097',-0.840,-0.340
'17:00.100',-0.840,-0.340
'17:00.103',-0.845,-0.335
'17:00.106',-0.840,-0.330
'17:00.108',-0.830,-0.325
'17:00.111',-0.830,-0.335
'17:00.114',-0.845,-0.345
'17:00.117',-0.855,-0.355
'17:00.119',-0.870,-0.350
'17:00.122',-0.875,-0.365
'17:00.125',-0.890,-0.360
'17:00.128',-0.890,-0.360
'17:00.131',-0.885,-0.365
'17:00.133',-0.885,-0.360
'17:00.136',-0.885,-0.350
'17:00.139',-0.890,-0.325
'17:00.142',-0.915,-0.330
'17:00.144',-0.900,-0.330
'17:00.147',-0.920,-0.340
'17:00.150',-0.920,-0.350
'17:00.153',-0.930,-0.345
'17:00.156',-0.935,-0.370
'17:00.158',-0.960,-0.370
'17:00.161',-0.965,-0.365
'17:00.164',-0.985,-0.350
'17:00.167',-0.990,-0.350
'17:00.169',-0.990,-0.340
'17:00.172',-0.985,-0.340
'17:00.175',-0.995,-0.330
'17:00.178',-1.005,-0.335
'17:00.181',-1.020,-0.340
'17:00.183',-1.025,-0.350
'17:00.186',-1.050,-0.355
'17:00.189',-1.065,-0.365
'17:00.192',-1.080,-0.365
'17:00.194',-1.095,-0.355
'17:00.197',-1.125,-0.360
